Month,Units_Consumed
2021-01-01,221190
2021-02-01,233356
2021-03-01,333716
2021-04-01,291867
2021-05-01,154590
2021-06-01,160195
2021-07-01,214043
2021-08-01,204427
2021-09-01,197066
2021-10-01,256024
2021-11-01,339000
2021-12-01,434988
2022-01-01,407790
2022-02-01,394892
2022-03-01,607291
2022-04-01,630400
2022-05-01,573681
2022-06-01,499403
2022-07-01,509507
2022-08-01,558616
2022-09-01,592776
2022-10-01,612531
2022-11-01,653106
2022-12-01,591105
2023-01-01,658605
2023-02-01,638061
2023-03-01,757231
2023-04-01,764217
2023-05-01,682571
2023-06-01,572562
2023-07-01,492468
2023-08-01,694007
2023-09-01,730199
2023-10-01,775134
2023-11-01,787557
2023-12-01,679123
2024-01-01,766767.926996409
2024-02-01,761463.9501977686
2024-03-03,762995.0990287248
